iter	Passed	Remaining
0	117	117781
1	118	59287
2	119	39877
3	120	30103
4	121	24228
5	122	20306
6	123	17509
7	124	15451
8	125	13822
9	126	12516
10	127	11443
11	128	10558
12	129	9797
13	129	9142
14	130	8592
15	131	8096
16	132	7669
17	133	7296
18	134	6949
19	135	6635
20	136	6348
21	137	6108
22	138	5881
23	139	5669
24	140	5476
25	141	5294
26	142	5129
27	143	4976
28	144	4826
29	144	4688
30	145	4556
31	146	4433
32	147	4317
33	148	4209
34	149	4108
35	149	4013
36	150	3928
37	152	3850
38	152	3767
39	153	3693
40	154	3624
41	156	3562
42	157	3503
43	158	3448
44	159	3389
45	160	3334
46	161	3281
47	162	3227
48	163	3180
49	164	3133
50	165	3086
51	166	3041
52	167	2999
53	168	2955
54	169	2916
55	170	2879
56	171	2840
57	172	2803
58	173	2765
59	174	2728
60	175	2694
61	175	2662
62	177	2633
63	178	2603
64	178	2574
65	180	2547
66	181	2521
67	181	2493
68	182	2465
69	183	2439
70	184	2416
71	185	2395
72	186	2374
73	187	2350
74	188	2325
75	189	2304
76	190	2286
77	191	2267
78	192	2249
79	194	2231
80	195	2213
81	196	2202
82	197	2180
83	198	2163
84	199	2148
85	200	2133
86	201	2118
87	203	2104
88	204	2092
89	205	2075
90	206	2057
91	206	2041
92	207	2025
93	208	2009
94	209	1993
95	210	1979
96	211	1965
97	212	1955
98	213	1940
99	214	1928
100	215	1917
101	216	1906
102	217	1894
103	218	1881
104	219	1871
105	220	1861
106	221	1848
107	222	1837
108	223	1827
109	224	1817
110	225	1809
111	226	1798
112	227	1787
113	228	1776
114	229	1767
115	230	1756
116	231	1744
117	231	1733
118	232	1723
119	233	1712
120	234	1702
121	234	1690
122	235	1681
123	236	1671
124	237	1661
125	238	1652
126	238	1641
127	239	1633
128	240	1626
129	242	1620
130	243	1614
131	244	1607
132	245	1600
133	246	1593
134	247	1587
135	249	1582
136	250	1577
137	251	1571
138	252	1564
139	253	1557
140	254	1550
141	255	1540
142	256	1535
143	257	1530
144	258	1524
145	259	1518
146	260	1510
147	261	1503
148	262	1497
149	262	1490
150	263	1483
151	264	1476
152	265	1471
153	266	1466
154	267	1459
155	268	1453
156	269	1447
157	270	1442
158	271	1438
159	272	1432
160	273	1425
161	274	1419
162	275	1413
163	276	1408
164	277	1403
165	278	1397
166	278	1391
167	279	1385
168	280	1379
169	281	1373
170	282	1367
171	282	1361
172	283	1356
173	284	1350
174	285	1345
175	286	1341
176	287	1336
177	288	1331
178	289	1326
179	289	1320
180	290	1315
181	291	1310
182	292	1305
183	293	1300
184	294	1295
185	294	1290
186	295	1285
187	296	1281
188	297	1277
189	298	1273
190	299	1269
191	300	1265
192	301	1261
193	302	1258
194	303	1254
195	305	1251
196	306	1248
197	307	1244
198	308	1241
199	309	1238
200	310	1235
201	311	1231
202	312	1228
203	313	1223
204	314	1219
205	315	1215
206	316	1211
207	317	1207
208	317	1202
209	318	1198
210	319	1194
211	320	1191
212	321	1187
213	322	1183
214	323	1179
215	323	1175
216	324	1171
217	325	1167
218	326	1163
219	327	1159
220	327	1155
221	328	1151
222	329	1147
223	330	1144
224	331	1141
225	332	1138
226	333	1136
227	335	1134
228	336	1132
229	337	1129
230	338	1127
231	339	1124
232	340	1121
233	341	1117
234	342	1114
235	343	1111
236	344	1107
237	344	1104
238	345	1101
239	347	1099
240	348	1097
241	349	1095
242	350	1092
243	351	1090
244	353	1087
245	354	1085
246	355	1082
247	355	1079
248	356	1076
249	357	1072
250	358	1069
251	359	1065
252	359	1062
253	360	1059
254	361	1056
255	362	1054
256	363	1051
257	364	1048
258	365	1046
259	367	1044
260	368	1042
261	369	1040
262	370	1038
263	371	1035
264	372	1033
265	373	1030
266	374	1027
267	375	1025
268	376	1022
269	376	1019
270	377	1016
271	378	1014
272	379	1011
273	380	1008
274	381	1005
275	382	1003
276	383	1001
277	384	999
278	385	997
279	387	995
280	388	993
281	389	991
282	390	989
283	391	987
284	392	985
285	393	982
286	394	980
287	395	977
288	396	974
289	396	971
290	397	968
291	398	966
292	399	964
293	400	961
294	401	959
295	402	957
296	403	955
297	404	953
298	405	951
299	406	948
300	407	946
301	408	943
302	409	941
303	410	939
304	411	936
305	412	934
306	413	932
307	414	930
308	415	929
309	416	927
310	417	925
311	418	923
312	419	921
313	420	919
314	421	917
315	423	916
316	424	914
317	425	911
318	426	909
319	426	907
320	428	905
321	429	904
322	430	902
323	431	900
324	432	898
325	433	896
326	434	893
327	434	891
328	435	888
329	436	886
330	437	883
331	438	881
332	438	878
333	439	876
334	440	873
335	440	870
336	441	868
337	442	865
338	442	863
339	443	860
340	444	858
341	444	855
342	445	853
343	446	851
344	446	848
345	447	846
346	448	843
347	448	841
348	449	838
349	450	835
350	450	833
351	451	831
352	452	828
353	452	826
354	453	824
355	454	821
356	454	819
357	455	817
358	456	815
359	457	813
360	458	810
361	459	809
362	459	806
363	460	804
364	461	802
365	462	800
366	462	798
367	463	795
368	463	793
369	464	791
370	465	789
371	466	787
372	467	785
373	467	783
374	468	780
375	469	778
376	469	776
377	470	774
378	471	771
379	471	769
380	472	767
381	472	765
382	473	762
383	474	760
384	474	758
385	475	756
386	476	754
387	476	752
388	477	749
389	478	747
390	479	746
391	479	744
392	480	742
393	481	740
394	481	738
395	482	736
396	483	734
397	484	732
398	484	730
399	485	727
400	485	725
401	486	723
402	487	721
403	487	719
404	488	717
405	489	715
406	489	713
407	490	711
408	491	709
409	491	707
410	492	705
411	493	703
412	493	701
413	494	700
414	495	698
415	496	696
416	496	694
417	497	692
418	498	691
419	498	689
420	499	687
421	500	685
422	501	683
423	501	681
424	502	679
425	502	677
426	504	676
427	504	674
428	505	673
429	506	671
430	507	669
431	507	667
432	508	665
433	509	664
434	510	662
435	510	660
436	511	659
437	512	657
438	513	656
439	514	654
440	514	652
441	515	650
442	516	649
443	516	647
444	517	645
445	518	643
446	518	641
447	519	640
448	520	638
449	520	636
450	521	634
451	522	633
452	522	631
453	523	629
454	524	627
455	525	626
456	525	624
457	526	623
458	527	621
459	527	619
460	528	618
461	529	616
462	530	614
463	530	613
464	531	611
465	532	610
466	533	608
467	534	607
468	534	605
469	535	603
470	536	602
471	536	600
472	537	599
473	538	597
474	538	595
475	539	594
476	540	592
477	541	590
478	541	589
479	542	588
480	544	587
481	545	585
482	546	584
483	547	583
484	548	582
485	549	580
486	550	579
487	550	577
488	551	576
489	552	574
490	553	573
491	554	572
492	554	570
493	555	569
494	556	567
495	557	566
496	558	564
497	559	563
498	560	562
499	560	560
500	561	559
501	562	558
502	563	557
503	564	555
504	565	554
505	566	553
506	567	551
507	568	550
508	569	548
509	569	547
510	570	546
511	571	544
512	572	543
513	573	542
514	574	541
515	575	539
516	576	538
517	577	537
518	578	536
519	579	535
520	580	533
521	581	532
522	582	531
523	583	529
524	584	528
525	584	526
526	585	525
527	586	524
528	587	523
529	588	521
530	589	520
531	589	518
532	590	517
533	591	515
534	591	514
535	592	513
536	593	511
537	594	510
538	595	509
539	596	507
540	597	506
541	597	505
542	598	503
543	599	502
544	600	501
545	601	499
546	602	498
547	603	497
548	603	496
549	604	494
550	605	493
551	606	492
552	607	490
553	608	489
554	609	488
555	610	487
556	611	486
557	611	484
558	612	483
559	613	482
560	614	481
561	615	479
562	616	478
563	617	477
564	618	476
565	619	475
566	620	474
567	621	472
568	622	471
569	623	470
570	625	469
571	626	468
572	627	467
573	628	466
574	628	464
575	629	463
576	630	462
577	631	461
578	632	459
579	633	458
580	634	457
581	635	456
582	635	454
583	636	453
584	637	452
585	638	450
586	639	449
587	639	448
588	640	446
589	641	445
590	641	444
591	642	442
592	643	441
593	644	440
594	645	439
595	645	437
596	647	436
597	647	435
598	648	434
599	649	433
600	650	431
601	650	430
602	651	429
603	652	427
604	653	426
605	653	425
606	654	423
607	655	422
608	656	421
609	657	420
610	658	419
611	659	417
612	660	416
613	661	415
614	662	414
615	662	413
616	663	411
617	664	410
618	664	409
619	665	407
620	666	406
621	666	405
622	667	404
623	668	402
624	669	401
625	669	400
626	670	399
627	671	397
628	672	396
629	673	395
630	673	393
631	674	392
632	675	391
633	676	390
634	677	389
635	678	388
636	679	387
637	680	386
638	681	384
639	682	383
640	683	382
641	683	381
642	684	380
643	685	378
644	686	377
645	687	376
646	687	375
647	688	373
648	689	372
649	690	371
650	691	370
651	692	369
652	693	368
653	693	367
654	694	365
655	695	364
656	696	363
657	697	362
658	698	361
659	699	360
660	700	359
661	701	357
662	701	356
663	702	355
664	703	354
665	704	353
666	705	352
667	706	351
668	708	350
669	708	349
670	709	347
671	710	346
672	711	345
673	711	344
674	712	343
675	713	342
676	714	340
677	715	339
678	716	338
679	716	337
680	717	336
681	718	334
682	718	333
683	719	332
684	720	331
685	721	330
686	722	329
687	723	327
688	724	326
689	725	325
690	725	324
691	726	323
692	727	322
693	728	321
694	729	320
695	730	319
696	731	318
697	732	316
698	733	315
699	734	314
700	735	313
701	736	312
702	736	311
703	737	310
704	738	309
705	739	307
706	739	306
707	740	305
708	741	304
709	741	302
710	742	301
711	743	300
712	744	299
